theme,ticker,name,rating,entry_price,target_range,time_frame,invalidation,catalyst,notes,scan_date
A股存储芯片,603005.SH,晶方科技,🟢 candidate,42.59,51-58,6-9个月,收盘价跌破39元（约SMA50下方5%）或Q2营收环比下滑。,存储模组客户导入/TSV产能利用率提升/HBM封装技术突破。,"layer=L3_advanced_packaging; gates={'true_bottleneck': 1, 'pre_institutional': 1, 'cheap_de_risked': 0.5}; archetypes=['off-radar/pre-institutional', 'test/equipment bottleneck']; thesis=晶圆级封装/TSV小盘龙头，受益存储/CIS/WLCSP国产替代；股价相对板块滞涨（1月-7%，距6月高点-22.9%），市值小、机构覆盖低，存在补涨与重估空间。; risk=存储下游需求不及预期；CIS客户集中；扩产节奏慢于竞争对手；估值修复需业绩兑现。",2026-07-06
A股存储芯片,688019.SH,安集科技,🟢 candidate,289.35,350-400,6-12个月,长鑫/长江存储扩产延期，或公司丢失关键制程验证。,先进制程抛光液份额提升/HBM用新品导入。,"layer=L5_materials_chemicals; gates={'true_bottleneck': 1, 'pre_institutional': 1, 'cheap_de_risked': 0.5}; archetypes=['materials/substrate monopoly', 'single-source choke']; thesis=国产CMP抛光液龙头，长鑫/长江存储扩产核心耗材供应商；认证壁垒高、复购属性强；股价尚未进入板块主升浪，相对低估。; risk=海外巨头降价打压；新制程验证不及预期；存储大厂资本开支放缓；毛利率波动。",2026-07-06
A股存储芯片,688008.SH,澜起科技,🟢 candidate,268.68,320-370,6-12个月,核心客户平台延期或市场份额被Renesas/Inphi侵蚀。,DDR5渗透率提升/HBM接口芯片量产。,"layer=L2_midstream_design; gates={'true_bottleneck': 1, 'pre_institutional': 0.5, 'cheap_de_risked': 0.5}; archetypes=['single-source choke', 'BOM-ubiquitous']; thesis=全球内存接口芯片(DDR4/DDR5)核心供应商，HBM4E接口已送样[网络检索:雪球2025-10-31]，服务器内存升级与国产算力替代双重驱动；相对海外对手估值仍有折价。; risk=英特尔/AMD平台迭代慢于预期；DDR5渗透率波动；HBM接口认证周期长；中美技术限制。",2026-07-06
A股存储芯片,002185.SZ,华天科技,🟡 watch,19.94,24-28,6-9个月,毛利率环比下滑或先进封装订单低于预期。,2.5D/HBM封装产线投产/存储客户放量。,"layer=L3_advanced_packaging; gates={'true_bottleneck': 1, 'pre_institutional': 0.5, 'cheap_de_risked': 1}; archetypes=['sold-out capacity', 'valuation arbitrage']; thesis=三线封测中估值最低、业绩弹性最大，先进封装产能持续爬坡；PEG仅0.14，利润增速极高。; risk=先进封装技术差距大于长电/通富；利润率低；产能利用率波动。",2026-07-06
A股存储芯片,002156.SZ,通富微电,🟡 watch,66.18,80-95,6-12个月,跌破60元支撑或AMD下修资本开支。,HBM样品量产/国产算力客户导入。,"layer=L3_advanced_packaging; gates={'true_bottleneck': 1, 'pre_institutional': 0.5, 'cheap_de_risked': 1}; archetypes=['sold-out capacity', 'giant-dependent moat']; thesis=AMD核心封测伙伴，国内HBM/2.5D封装技术领先[网络检索:东方财富2025-10-27]；近1月横盘整理，未进入板块最癫狂阶段。; risk=AMD订单波动；HBM封装良率爬坡不及预期； capex回收周期长。",2026-07-06
A股存储芯片,688110.SH,东芯股份,🟡 watch,174.77,210-250,6-9个月,Q2净利润环比下滑或毛利率低于30%。,车规产品放量/国产工业客户导入。,"layer=L2_midstream_design; gates={'true_bottleneck': 0.5, 'pre_institutional': 1, 'cheap_de_risked': 0}; archetypes=['off-radar/pre-institutional']; thesis=利基型存储(SLC NAND/NOR/DRAM)小盘设计商，车规/工业客户持续拓展；利润刚扭亏，市值小、机构覆盖低。; risk=高估值需高增长持续兑现；产品结构单一；竞争加剧。",2026-07-06
A股存储芯片,300655.SZ,晶瑞电材,🟡 watch,18.27,22-26,6-12个月,跌破16.5元前低或Q2继续亏损。,ArF光刻胶客户验证通过/存储大厂订单落地。,"layer=L5_materials_chemicals; gates={'true_bottleneck': 0.5, 'pre_institutional': 1, 'cheap_de_risked': 0}; archetypes=['valuation arbitrage', 'off-radar/pre-institutional']; thesis=半导体光刻胶/湿电子化学品小市值标的，股价绝对位置低、板块内滞涨；光刻胶国产替代叙事明确但业绩尚未兑现。; risk=eps同比大幅下滑；高端ArF光刻胶验证慢；资产负债率高。",2026-07-06
A股存储芯片,300054.SZ,鼎龙股份,🟡 watch,90.56,108-125,6-12个月,抛光垫份额下滑或单季扣非亏损。,KrF光刻胶放量/长鑫份额提升。,"layer=L5_materials_chemicals; gates={'true_bottleneck': 1, 'pre_institutional': 0.5, 'cheap_de_risked': 0.5}; archetypes=['materials/substrate monopoly']; thesis=CMP抛光垫国产龙头，同步布局光刻胶[网络检索:东方财富2026-07-02]；长鑫核心供应商，耗材复购属性强。; risk=抛光垫价格下行；打印耗材主业拖累；光刻胶验证不及预期。",2026-07-06
A股存储芯片,300346.SZ,南大光电,🟡 watch,77.74,95-110,6-12个月,ArF光刻胶客户验证未通过或单季营收负增长。,ArF光刻胶批量供货/前驱体份额提升。,"layer=L5_materials_chemicals; gates={'true_bottleneck': 1, 'pre_institutional': 1, 'cheap_de_risked': 0}; archetypes=['single-source choke', 'materials/substrate monopoly']; thesis=MO源/电子特气/ArF光刻胶国产先锋，长鑫/存储产业链核心材料商[网络检索:今日头条2026-06-25]；稀缺性强但估值偏贵。; risk=ArF光刻胶放量慢；MO源价格竞争；估值过高需时间消化。",2026-07-06
A股存储芯片,300042.SZ,朗科科技,🟡 watch,67.42,80-95,6-9个月,跌破60元或企业级SSD订单低于预期。,企业级/信创SSD订单落地。,"layer=L1_downstream_systems_modules; gates={'true_bottleneck': 0, 'pre_institutional': 1, 'cheap_de_risked': 0.5}; archetypes=['valuation arbitrage', 'off-radar/pre-institutional']; thesis=U盘/移动存储品牌老兵，近年向数据中心SSD转型；板块内滞涨，利润增速极高但绝对估值高。; risk=品牌溢价弱；下游价格竞争激烈；转型企业级存储验证慢。",2026-07-06
