theme,ticker,name,rating,entry_price,target_range,time_frame,invalidation,catalyst,notes,scan_date
A股能源转型,000400.SZ,许继电气,🟡 watch,21.11,30-34元（6月高点34.3元附近）[price.py],3-6个月,后续两个季度净利润继续同比下滑且特高压交付不及预期。,特高压直流工程交付/后续中标公告,瓶颈逻辑成立，但需确认盈利拐点；当前股价处于近6月底部。,2026-07-06
A股能源转型,600312.SH,平高电气,🟢 candidate,17.64,24-28元（对应前期平台/6月高点区域）[推断],6-12个月,国网特高压招标延期或公司市占率下滑导致订单增速低于10%。,特高压GIS交付放量/海外EPC大单/半年报订单更新,瓶颈+订单锁定+估值未透支，是电网设备层首选。,2026-07-06
A股能源转型,601179.SH,中国西电,🟡 watch,14.02,待盈利预期明朗后重估,3个月内重估,2026年扣非净利润同比下降或forward PE维持>50x。,特高压变压器中标/海外订单,估值数据源存在噪音，需交叉验证后再决定仓位。,2026-07-06
A股能源转型,002028.SZ,思源电气,🟡 watch,174.2,210-230元（前期密集成交区）[推断],6个月,海外收入增速跌破20%或毛利率连续下滑。,海外大单/半年报海外收入占比提升,优质但不够便宜，等待估值回落至30x以下或放量突破。,2026-07-06
A股能源转型,600089.SH,特变电工,🟡 watch,21.35,26-30元（前期平台）[推断],6-12个月,多晶硅业务继续亏损且变压器订单增速低于行业均值。,特高压变压器交付/多晶硅价格触底,估值便宜，但业务结构复杂，需跟踪非晶/变压器盈利修复。,2026-07-06
A股能源转型,603606.SH,东方电缆,🟡 watch,42.04,52-58元（6月高点57.98元附近）[price.py],6-12个月,2026年海缆新签订单同比大幅下滑或毛利率跌破25%。,海风项目核准/广东/江苏海风竞配结果,瓶颈逻辑强，但下游海风开工节奏是主要变量。,2026-07-06
A股能源转型,600522.SH,中天科技,🟡 watch,48.03,55-60元（6月高点附近）[推断],3-6个月,股价跌破SMA50且海风订单增速放缓。,海风集中开工/海外海缆订单,趋势已起，但非“冷门前机构”，等回调再评估。,2026-07-06
A股能源转型,603290.SH,斯达半导,🟢 candidate,126.71,155-175元（突破6月高点159.69元后看前高平台）[推断],6-12个月,连续两个季度营收环比下滑或SiC模块验证进度落后国际龙头12个月以上。,新能源车/光伏逆变器订单放量/SiC模块客户导入,功率半导体是电网友好型能源转型的核心瓶颈，估值与业绩拐点匹配。,2026-07-06
A股能源转型,600460.SH,士兰微,🟡 watch,46.62,待盈利修复后重估,6个月,2026年扣非净利润未转正或毛利率低于20%。,12英寸产线投产/SiC器件放量,瓶颈逻辑成立，但需等待盈利与估值匹配。,2026-07-06
A股能源转型,688187.SH,时代电气,🟡 watch,57.04,65-72元[推断],6个月,轨交订单下滑且功率器件收入占比未提升。,新能源车用IGBT放量/轨交复苏,质地稳健但不够“冷”，等待估值回落。,2026-07-06
A股能源转型,688234.SH,天岳先进,🟡 watch,141.41,110-130元（回调支撑位/前高）[推断],6-12个月,连续两个季度营收环比下滑或毛利率未转正。,8英寸衬底大客户订单/季度营收加速,最上游瓶颈，但当前价格已反映部分乐观预期，等回调或盈利信号。,2026-07-06
A股能源转型,600703.SH,三安光电,🟡 watch,17.35,待盈利转正后重估,6-12个月,SiC业务收入增速低于30%或LED继续大幅亏损。,SiC MOSFET量产/合资公司爬坡,SiC瓶颈参与者，但业绩与估值均不清晰。,2026-07-06
A股能源转型,002812.SZ,恩捷股份,🟡 watch,65.0,75-90元[推断],6个月,2026年隔膜出货量增速低于20%或单价继续下跌。,海外大客户订单/涂覆隔膜占比提升,龙头地位稳固，但需盈利修复确认。,2026-07-06
A股能源转型,300073.SZ,当升科技,🟡 watch,46.77,55-65元[推断],6个月,正极单吨净利继续下滑或海外收入占比下降。,高镍/固态正极放量,材料环节非当前瓶颈，观望。,2026-07-06
A股能源转型,603659.SH,璞泰来,🟡 watch,27.04,33-38元[推断],6-12个月,涂覆隔膜收入增速低于10%或负极毛利率跌破15%。,海外负极基地投产/涂覆隔膜订单放量,估值低，但瓶颈逻辑弱于电网设备与SiC衬底，等待盈利结构改善。,2026-07-06
