theme,ticker,name,rating,entry_price,target_range,time_frame,invalidation,catalyst,notes,scan_date
A股半导体,688126.SH,沪硅产业,🟢,34.61,¥36.34–¥43.87,3–6个月,跌破6个月区间中位（约¥30）且1月动量转负；或公司公告12寸正片大客户认证显著推迟。,大基金三期/地方国资落地、12寸硅片批量出货、中芯/华虹等晶圆厂扩产招标。,"300mm半导体硅片国产龙头 | stage=early-uptrend (reasonable Mode-A entry: theme igniting, not yet overextended) | 距6月高点-21.1%",2026-07-06
A股半导体,605358.SH,立昂微,🟢,59.49,¥62.46–¥83.29,3–6个月,跌破¥50且3月动量回落至0以下；或功率器件订单连续两季度下滑。,硅片提价、功率IDM产能利用率回升、12寸客户认证通过。,"硅片+功率器件双主业 | stage=early-uptrend (reasonable Mode-A entry: theme igniting, not yet overextended) | 距6月高点-28.6%",2026-07-06
A股半导体,688233.SH,神工股份,🟡,180.55,¥189.58–¥247.0,3–6个月（等回调或催化剂落地）,跌破¥162.5且1月动量转负；或行业订单/毛利率连续两季度低于预期。,晶圆厂扩产招标、国产材料认证通过、大基金三期投向材料/设备。,"单晶硅材料/硅零部件 | stage=extended/parabolic (already ran hot -> late for Mode A; DON'T chase, wait for pullback) | 距6月高点-26.9%",2026-07-06
A股半导体,300655.SZ,晶瑞电材,🟢,18.27,¥19.18–¥23.22,3–6个月,跌破¥16且1月动量转负；或光刻胶收入占比连续两个季度下降。,KrF光刻胶批量导入、高纯化学品订单放量、大基金三期材料子基金落地。,"光刻胶+高纯湿电子化学品 | stage=early-uptrend (reasonable Mode-A entry: theme igniting, not yet overextended) | 距6月高点-21.3%",2026-07-06
A股半导体,300346.SZ,南大光电,🟢,77.74,¥81.63–¥98.82,3–6个月,跌破¥65且1月动量转负；或ArF光刻胶验证进度公告延后。,ArF光刻胶通过更多客户验证、特气新产能投产。,"ArF光刻胶+MO源/电子特气 | stage=early-uptrend (reasonable Mode-A entry: theme igniting, not yet overextended) | 距6月高点-21.3%",2026-07-06
A股半导体,300666.SZ,江丰电子,🟡,326.86,¥343.2–¥418.99,3–6个月（等回调或催化剂落地）,跌破¥294.2且1月动量转负；或行业订单/毛利率连续两季度低于预期。,晶圆厂扩产招标、国产材料认证通过、大基金三期投向材料/设备。,"高纯金属溅射靶材 | stage=extended/parabolic (already ran hot -> late for Mode A; DON'T chase, wait for pullback) | 距6月高点-22.0%",2026-07-06
A股半导体,300706.SZ,阿石创,🟢,69.43,¥72.9–¥93.9,3–6个月,跌破¥55且1月动量转负；或半导体靶材收入占比未见提升。,半导体靶材通过头部晶圆厂认证、面板/光伏订单回暖。,"PVD镀膜材料/溅射靶材 | stage=early-uptrend (reasonable Mode-A entry: theme igniting, not yet overextended) | 距6月高点-26.1%",2026-07-06
A股半导体,002409.SZ,雅克科技,🟡,186.45,¥195.77–¥246.44,3–6个月（等回调或催化剂落地）,跌破¥167.8且1月动量转负；或行业订单/毛利率连续两季度低于预期。,晶圆厂扩产招标、国产材料认证通过、大基金三期投向材料/设备。,"半导体前驱体/电子特气/LDS材料 | stage=extended/parabolic (already ran hot -> late for Mode A; DON'T chase, wait for pullback) | 距6月高点-24.3%",2026-07-06
A股半导体,300054.SZ,鼎龙股份,🟡,90.56,¥95.09–¥111.03,3–6个月（等回调或催化剂落地）,跌破¥81.5且1月动量转负；或行业订单/毛利率连续两季度低于预期。,晶圆厂扩产招标、国产材料认证通过、大基金三期投向材料/设备。,"CMP抛光垫+打印复印耗材 | stage=early-uptrend (reasonable Mode-A entry: theme igniting, not yet overextended) | 距6月高点-18.4%",2026-07-06
A股半导体,688019.SH,安集科技,🟢,289.35,¥303.82–¥366.0,3–6个月,跌破¥240且1月动量转负；或连续两季度毛利率下滑。,12寸逻辑/存储客户份额提升、抛光垫等新耗材放量。,"CMP抛光液/清洗液 | stage=early-uptrend (reasonable Mode-A entry: theme igniting, not yet overextended) | 距6月高点-20.9%",2026-07-06
A股半导体,002371.SZ,北方华创,🟡,803.6,¥843.78–¥967.13,3–6个月（等回调或催化剂落地）,跌破¥723.2且1月动量转负；或行业订单/毛利率连续两季度低于预期。,晶圆厂设备招标、海外设备禁令升级、国产替代订单公告。,"平台型半导体设备龙头 | stage=early-uptrend (reasonable Mode-A entry: theme igniting, not yet overextended) | 距6月高点-16.9%",2026-07-06
A股半导体,688012.SH,中微公司,🟡,420.0,¥441.0–¥500.0,3–6个月（等回调或催化剂落地）,跌破¥378.0且1月动量转负；或行业订单/毛利率连续两季度低于预期。,晶圆厂设备招标、海外设备禁令升级、国产替代订单公告。,"等离子体刻蚀设备 | stage=extended/parabolic (already ran hot -> late for Mode A; DON'T chase, wait for pullback) | 距6月高点-16.0%",2026-07-06
A股半导体,688072.SH,拓荆科技,🟡,832.0,¥873.6–¥931.84,3–6个月（等回调或催化剂落地）,跌破¥748.8且1月动量转负；或行业订单/毛利率连续两季度低于预期。,晶圆厂设备招标、海外设备禁令升级、国产替代订单公告。,"薄膜沉积设备（PECVD/SACVD/ALD） | stage=extended/parabolic (already ran hot -> late for Mode A; DON'T chase, wait for pullback) | 距6月高点-3.8%",2026-07-06
A股半导体,688120.SH,华海清科,🟡,269.0,¥282.45–¥356.64,3–6个月（等回调或催化剂落地）,跌破¥242.1且1月动量转负；或行业订单/毛利率连续两季度低于预期。,晶圆厂设备招标、海外设备禁令升级、国产替代订单公告。,"CMP设备 | stage=extended/parabolic (already ran hot -> late for Mode A; DON'T chase, wait for pullback) | 距6月高点-24.6%",2026-07-06
A股半导体,688082.SH,盛美上海,🟡,373.0,¥391.65–¥459.99,3–6个月（等回调或催化剂落地）,跌破¥335.7且1月动量转负；或行业订单/毛利率连续两季度低于预期。,晶圆厂设备招标、海外设备禁令升级、国产替代订单公告。,"清洗/电镀/炉管设备 | stage=extended/parabolic (already ran hot -> late for Mode A; DON'T chase, wait for pullback) | 距6月高点-18.9%",2026-07-06
