theme,ticker,name,rating,entry_price,target_range,time_frame,invalidation,catalyst,notes,scan_date
A股机器人,300224.SZ,正海磁材,🟢,13.38,16.06-21.41,6-12个月,跌破¥11.5且1个月动量转负；或稀土价格继续下跌/机器人磁材订单无增长。,人形机器人量产爬坡/国产替代订单/丝杠&传感器送样通过/稀土&软磁材料需求放量,稀土永磁材料龙头，电机BOM必需；forward PE 36，股价低位，稀土价格回暖+机器人电机需求双重催化。,2026-07-06
A股机器人,688190.SH,云路股份,🟢,85.59,102.71-136.94,6-12个月,跌破¥70且1个月动量转负；或非晶电机铁芯渗透率无提升。,人形机器人量产爬坡/国产替代订单/丝杠&传感器送样通过/稀土&软磁材料需求放量,非晶/纳米晶软磁材料龙头，高效电机铁芯核心材料；forward PE 31，股价处6个月13%分位，最冷门的上游材料瓶颈。,2026-07-06
A股机器人,300811.SZ,铂科新材,🟡,87.9,92.3-118.67,3-9个月（需触发）,跌破¥65且1个月动量转负；或电机软磁需求放缓。,人形机器人量产爬坡/国产替代订单/丝杠&传感器送样通过/稀土&软磁材料需求放量,金属软磁粉芯龙头，电机/电感上游；3个月+64%已涨，估值185x偏贵。,2026-07-06
A股机器人,600366.SH,宁波韵升,🟡,16.11,16.92-21.75,3-9个月（需触发）,跌破¥13且1个月动量转负；或稀土价格回调。,人形机器人量产爬坡/国产替代订单/丝杠&传感器送样通过/稀土&软磁材料需求放量,稀土永磁老牌企业，3个月+36.9%已偏热；估值53x，作为材料龙头跟踪。,2026-07-06
A股机器人,300007.SZ,汉威科技,🟡,40.35,42.37-54.47,3-9个月（需触发）,跌破¥33（6个月低点附近）且1个月动量转负；或力/触觉传感器布局无实质订单。,人形机器人量产爬坡/国产替代订单/丝杠&传感器送样通过/稀土&软磁材料需求放量,气体传感器龙头，布局力/触觉传感器；机器人业务占比尚小，估值在传感器板块相对低（forward PE 88，PEG 1.72），股价处于6个月低位，但主题纯度不足。,2026-07-06
A股机器人,300718.SZ,长盛轴承,🟢,70.52,84.62-112.83,6-12个月,跌破¥55且1个月动量转负；或自润滑轴承未进入主流机器人BOM。,人形机器人量产爬坡/国产替代订单/丝杠&传感器送样通过/稀土&软磁材料需求放量,自润滑轴承龙头，机器人关节、丝杠等场景潜在BOM；股价低位、估值86x、增速15%，存在渗透率提升空间。,2026-07-06
A股机器人,603809.SH,豪能股份,🟡,9.4,9.87-12.69,3-9个月（需触发）,跌破¥8.0且1个月动量转负；或机器人减速器业务营收占比<3%且无产能扩张。,人形机器人量产爬坡/国产替代订单/丝杠&传感器送样通过/稀土&软磁材料需求放量,汽车传动件向机器人行星减速器/关节模组延伸，forward PE仅26.6，股价处6个月15%分位，估值安全；但机器人业务占比尚小，题材纯度不足。,2026-07-06
A股机器人,002196.SZ,方正电机,🟡,13.18,13.84-17.79,3-9个月（需触发）,跌破¥11且1个月动量转负；或伺服电机毛利下滑。,人形机器人量产爬坡/国产替代订单/丝杠&传感器送样通过/稀土&软磁材料需求放量,伺服电机+新能源驱动电机，利润增速高但估值波动大；机器人占比尚低。,2026-07-06
A股机器人,002472.SZ,双环传动,🟡,46.75,49.09-63.11,3-9个月（需触发）,跌破¥40且3个月动量转负；或环动科技IPO定价过低/减速器业务增速<20%。,人形机器人量产爬坡/国产替代订单/丝杠&传感器送样通过/稀土&软磁材料需求放量,RV+谐波+行星减速器全品类布局，子公司环动科技拟IPO；业绩稳健但市值较大、弹性一般。,2026-07-06
A股机器人,002896.SZ,中大力德,🟡,84.02,88.22-113.43,3-9个月（需触发）,跌破¥65（接近SMA50）且1个月动量转负；或机器人减速器订单连续两季度无增长。,人形机器人量产爬坡/国产替代订单/丝杠&传感器送样通过/稀土&软磁材料需求放量,少数同时覆盖谐波/RV/行星减速器的中小厂商，全品类储备具备弹性；当前估值偏高、利润承压。,2026-07-06
A股机器人,003021.SZ,兆威机电,🟡,95.38,100.15-128.76,3-9个月（需触发）,跌破¥75且1个月动量转负；或微型传动订单无增长。,人形机器人量产爬坡/国产替代订单/丝杠&传感器送样通过/稀土&软磁材料需求放量,微型传动系统+空心杯电机，灵巧手核心部件；股价较前期高点回撤30%，估值仍高。,2026-07-06
A股机器人,300100.SZ,双林股份,🟡,28.9,30.34-39.02,3-9个月（需触发）,跌破¥24且1个月动量转负；或丝杠业务进展停滞。,人形机器人量产爬坡/国产替代订单/丝杠&传感器送样通过/稀土&软磁材料需求放量,滚珠丝杠布局+汽车座椅，主业承压，机器人业务待验证；估值不高但纯度一般。,2026-07-06
A股机器人,300660.SZ,江苏雷利,🟡,30.63,32.16-41.35,3-9个月（需触发）,跌破¥25且1个月动量转负；或机器人电机订单被证伪。,人形机器人量产爬坡/国产替代订单/丝杠&传感器送样通过/稀土&软磁材料需求放量,微型电机及执行器供应商，已进入多家本体/灵巧手企业；近期回撤较多，估值中等。,2026-07-06
A股机器人,301368.SZ,丰立智能,🟡,46.17,48.48-62.33,3-9个月（需触发）,跌破¥38且1个月动量转负；或谐波减速器送样无反馈。,人形机器人量产爬坡/国产替代订单/丝杠&传感器送样通过/稀土&软磁材料需求放量,小模数齿轮跨界谐波/行星减速器+灵巧手微型减速器；股价处于低位，市值小、前机构，但订单尚未规模化。,2026-07-06
A股机器人,301550.SZ,斯菱股份,🟡,101.63,106.71-137.2,3-9个月（需触发）,跌破¥80且1个月动量转负；或机器人轴承订单miss。,人形机器人量产爬坡/国产替代订单/丝杠&传感器送样通过/稀土&软磁材料需求放量,汽车轴承向机器人关节轴承延伸；估值很贵（forward PE>300），业绩短期下滑。,2026-07-06
A股机器人,603009.SH,北特科技,🟡,52.9,55.55-71.42,3-9个月（需触发）,跌破¥42且1个月动量转负；或行星滚柱丝杠量产推迟>6个月。,人形机器人量产爬坡/国产替代订单/丝杠&传感器送样通过/稀土&软磁材料需求放量,转向器壳体龙头向行星滚柱丝杠延伸，是人形机器人线性关节稀缺标的；估值偏贵但产业位置关键。,2026-07-06
A股机器人,603166.SH,福达股份,🟡,13.03,13.68-17.59,3-9个月（需触发）,跌破¥11且1个月动量转负；或行星减速器量产推迟。,人形机器人量产爬坡/国产替代订单/丝杠&传感器送样通过/稀土&软磁材料需求放量,汽车锻件起家正向开发行星减速器，forward PE 26，股价低位；与豪能类似，业务稀释但估值安全。,2026-07-06
